index_number,acoustic_data,time_to_failure
4435900,8,0.31789556
4435901,5,0.31789556
4435902,4,0.31789556
4435903,10,0.31789556
4435904,11,0.31789556
4435905,3,0.31789556
4435906,5,0.31789553
4435907,5,0.31789553
4435908,4,0.31789553
4435909,5,0.31789553
4435910,1,0.31789553
4435911,-2,0.31789553
4435912,-1,0.31789553
4435913,-2,0.31789553
4435914,2,0.31789553
4435915,1,0.31789553
4435916,3,0.31789553
4435917,8,0.31789553
4435918,12,0.31789553
4435919,9,0.31789553
4435920,3,0.31789553
4435921,5,0.31789553
4435922,9,0.31789553
4435923,4,0.31789553
4435924,5,0.31789553
4435925,9,0.31789553
4435926,7,0.31789553
4435927,5,0.31789553
4435928,4,0.31789553
4435929,6,0.31789553
4435930,6,0.31789553
4435931,7,0.31789553
4435932,7,0.31789553
4435933,7,0.3178955
4435934,8,0.3178955
4435935,3,0.3178955
4435936,6,0.3178955
4435937,6,0.3178955
4435938,7,0.3178955
4435939,8,0.3178955
4435940,9,0.3178955
4435941,2,0.3178955
4435942,1,0.3178955
4435943,0,0.3178955
4435944,6,0.3178955
4435945,4,0.3178955
4435946,-4,0.3178955
4435947,-1,0.3178955
4435948,-4,0.3178955
4435949,4,0.3178955
4435950,8,0.3178955
4435951,6,0.3178955
4435952,10,0.3178955
4435953,6,0.3178955
4435954,12,0.3178955
4435955,12,0.3178955
4435956,12,0.3178955
4435957,9,0.3178955
4435958,8,0.3178955
4435959,10,0.3178955
4435960,7,0.31789547
4435961,4,0.31789547
4435962,2,0.31789547
4435963,2,0.31789547
4435964,1,0.31789547
4435965,3,0.31789547
4435966,1,0.31789547
4435967,2,0.3168
4435968,5,0.31679997
4435969,5,0.31679997
4435970,2,0.31679997
4435971,3,0.31679997
4435972,6,0.31679997
4435973,8,0.31679997
4435974,5,0.31679997
4435975,3,0.31679997
4435976,5,0.31679997
4435977,5,0.31679997
4435978,1,0.31679997
4435979,5,0.31679997
4435980,12,0.31679997
4435981,6,0.31679997
4435982,4,0.31679997
4435983,1,0.31679997
4435984,3,0.31679997
4435985,8,0.31679997
4435986,8,0.31679997
4435987,1,0.31679997
4435988,0,0.31679997
4435989,6,0.31679997
4435990,7,0.31679997
4435991,6,0.31679997
4435992,5,0.31679997
4435993,8,0.31679997
4435994,4,0.31679997
4435995,6,0.31679994
4435996,6,0.31679994
4435997,6,0.31679994
4435998,4,0.31679994
4435999,2,0.31679994
4436000,2,0.31679994
4436001,2,0.31679994
4436002,2,0.31679994
4436003,3,0.31679994
4436004,3,0.31679994
4436005,2,0.31679994
4436006,7,0.31679994
4436007,4,0.31679994
4436008,4,0.31679994
4436009,3,0.31679994
4436010,2,0.31679994
4436011,3,0.31679994
4436012,0,0.31679994
4436013,9,0.31679994
4436014,8,0.31679994
4436015,5,0.31679994
4436016,6,0.31679994
4436017,8,0.31679994
4436018,-1,0.31679994
4436019,4,0.31679994
4436020,2,0.31679994
4436021,-1,0.31679994
4436022,1,0.31679994
4436023,2,0.3167999
4436024,2,0.3167999
4436025,5,0.3167999
4436026,7,0.3167999
4436027,11,0.3167999
4436028,11,0.3167999
4436029,10,0.3167999
4436030,4,0.3167999
4436031,5,0.3167999
4436032,4,0.3167999
4436033,3,0.3167999
4436034,7,0.3167999
4436035,3,0.3167999
4436036,5,0.3167999
4436037,3,0.3167999
4436038,4,0.3167999
4436039,4,0.3167999
4436040,9,0.3167999
4436041,10,0.3167999
4436042,9,0.3167999
4436043,7,0.3167999
4436044,4,0.3167999
4436045,5,0.3167999
4436046,7,0.3167999
4436047,2,0.3167999
4436048,2,0.3167999
4436049,5,0.3167999
4436050,6,0.31679988
4436051,4,0.31679988
4436052,1,0.31679988
4436053,7,0.31679988
4436054,4,0.31679988
4436055,5,0.31679988
4436056,8,0.31679988
4436057,9,0.31679988
4436058,7,0.31679988
4436059,5,0.31679988
4436060,6,0.31679988
4436061,7,0.31679988
4436062,8,0.31679988
4436063,7,0.31679988
4436064,8,0.31679988
4436065,9,0.31679988
4436066,5,0.31679988
4436067,1,0.31679988
4436068,3,0.31679988
4436069,4,0.31679988
4436070,3,0.31679988
4436071,5,0.31679988
4436072,5,0.31679988
4436073,1,0.31679988
4436074,4,0.31679988
4436075,4,0.31679988
4436076,5,0.31679988
4436077,6,0.31679985
4436078,3,0.31679985
4436079,0,0.31679985
4436080,3,0.31679985
4436081,6,0.31679985
4436082,6,0.31679985
4436083,8,0.31679985
4436084,6,0.31679985
4436085,6,0.31679985
4436086,6,0.31679985
4436087,2,0.31679985
4436088,1,0.31679985
4436089,8,0.31679985
4436090,5,0.31679985
4436091,4,0.31679985
4436092,5,0.31679985
4436093,4,0.31679985
4436094,3,0.31679985
4436095,4,0.31679985
4436096,3,0.31679985
4436097,8,0.31679985
4436098,4,0.31679985
4436099,7,0.31679985
4436100,5,0.31679985
4436101,4,0.31679985
4436102,10,0.31679985
4436103,9,0.31679985
4436104,8,0.31679982
4436105,6,0.31679982
4436106,5,0.31679982
4436107,5,0.31679982
4436108,0,0.31679982
4436109,0,0.31679982
4436110,4,0.31679982
4436111,1,0.31679982
4436112,-2,0.31679982
4436113,-2,0.31679982
4436114,4,0.31679982
4436115,0,0.31679982
4436116,3,0.31679982
4436117,7,0.31679982
4436118,3,0.31679982
4436119,3,0.31679982
4436120,3,0.31679982
4436121,8,0.31679982
4436122,9,0.31679982
4436123,10,0.31679982
4436124,8,0.31679982
4436125,7,0.31679982
4436126,8,0.31679982
4436127,6,0.31679982
4436128,3,0.31679982
4436129,0,0.31679982
4436130,2,0.31679982
4436131,0,0.3167998
4436132,-1,0.3167998
4436133,1,0.3167998
4436134,-4,0.3167998
4436135,2,0.3167998
4436136,6,0.3167998
4436137,4,0.3167998
4436138,5,0.3167998
4436139,8,0.3167998
4436140,7,0.3167998
4436141,3,0.3167998
4436142,3,0.3167998
4436143,9,0.3167998
4436144,5,0.3167998
4436145,5,0.3167998
4436146,3,0.3167998
4436147,4,0.3167998
4436148,6,0.3167998
4436149,4,0.3167998
4436150,0,0.3167998
4436151,5,0.3167998
4436152,6,0.3167998
4436153,5,0.3167998
4436154,10,0.3167998
4436155,11,0.3167998
4436156,7,0.3167998
4436157,6,0.3167998
4436158,8,0.31679976
4436159,9,0.31679976
4436160,5,0.31679976
4436161,-2,0.31679976
4436162,-3,0.31679976
4436163,4,0.31679976
4436164,-1,0.31679976
4436165,0,0.31679976
4436166,0,0.31679976
4436167,2,0.31679976
4436168,-1,0.31679976
4436169,5,0.31679976
4436170,4,0.31679976
4436171,6,0.31679976
4436172,4,0.31679976
4436173,6,0.31679976
4436174,7,0.31679976
4436175,7,0.31679976
4436176,8,0.31679976
4436177,5,0.31679976
4436178,1,0.31679976
4436179,2,0.31679976
4436180,4,0.31679976
4436181,-2,0.31679976
4436182,0,0.31679976
4436183,3,0.31679976
4436184,0,0.31679976
4436185,3,0.31679973
4436186,5,0.31679973
4436187,1,0.31679973
4436188,1,0.31679973
4436189,2,0.31679973
4436190,6,0.31679973
4436191,8,0.31679973
4436192,8,0.31679973
4436193,8,0.31679973
4436194,8,0.31679973
4436195,10,0.31679973
4436196,4,0.31679973
4436197,1,0.31679973
4436198,2,0.31679973
4436199,-2,0.31679973
4436200,0,0.31679973
4436201,2,0.31679973
4436202,5,0.31679973
4436203,6,0.31679973
4436204,8,0.31679973
4436205,5,0.31679973
4436206,6,0.31679973
4436207,10,0.31679973
4436208,11,0.31679973
4436209,7,0.31679973
4436210,5,0.31679973
4436211,3,0.31679973
4436212,7,0.3167997
4436213,9,0.3167997
4436214,4,0.3167997
4436215,9,0.3167997
4436216,5,0.3167997
4436217,6,0.3167997
4436218,4,0.3167997
4436219,2,0.3167997
4436220,-1,0.3167997
4436221,1,0.3167997
4436222,-4,0.3167997
4436223,-4,0.3167997
4436224,0,0.3167997
4436225,1,0.3167997
4436226,0,0.3167997
4436227,-1,0.3167997
4436228,6,0.3167997
4436229,1,0.3167997
4436230,1,0.3167997
4436231,8,0.3167997
4436232,9,0.3167997
4436233,10,0.3167997
4436234,14,0.3167997
4436235,14,0.3167997
4436236,10,0.3167997
4436237,6,0.3167997
4436238,8,0.3167997
4436239,0,0.31679967
4436240,-1,0.31679967
4436241,-2,0.31679967
4436242,-1,0.31679967
4436243,-5,0.31679967
4436244,-4,0.31679967
4436245,-5,0.31679967
4436246,0,0.31679967
4436247,-2,0.31679967
4436248,4,0.31679967
4436249,3,0.31679967
4436250,5,0.31679967
4436251,8,0.31679967
4436252,8,0.31679967
4436253,11,0.31679967
4436254,9,0.31679967
4436255,5,0.31679967
4436256,5,0.31679967
4436257,3,0.31679967
4436258,5,0.31679967
4436259,3,0.31679967
4436260,6,0.31679967
4436261,5,0.31679967
4436262,7,0.31679967
4436263,11,0.31679967
4436264,10,0.31679967
4436265,11,0.31679967
4436266,20,0.31679964
4436267,13,0.31679964
4436268,10,0.31679964
4436269,6,0.31679964
4436270,1,0.31679964
4436271,2,0.31679964
4436272,6,0.31679964
4436273,-2,0.31679964
4436274,1,0.31679964
4436275,2,0.31679964
4436276,5,0.31679964
4436277,4,0.31679964
4436278,1,0.31679964
4436279,-5,0.31679964
4436280,-6,0.31679964
4436281,-7,0.31679964
4436282,-13,0.31679964
4436283,-11,0.31679964
4436284,-13,0.31679964
4436285,-15,0.31679964
4436286,-13,0.31679964
4436287,-5,0.31679964
4436288,6,0.31679964
4436289,7,0.31679964
4436290,13,0.31679964
4436291,16,0.31679964
4436292,21,0.31679964
4436293,19,0.3167996
4436294,23,0.3167996
4436295,22,0.3167996
4436296,21,0.3167996
4436297,15,0.3167996
4436298,17,0.3167996
4436299,15,0.3167996
4436300,10,0.3167996
4436301,10,0.3167996
4436302,7,0.3167996
4436303,1,0.3167996
4436304,3,0.3167996
4436305,0,0.3167996
4436306,4,0.3167996
4436307,3,0.3167996
4436308,3,0.3167996
4436309,5,0.3167996
4436310,8,0.3167996
4436311,8,0.3167996
4436312,3,0.3167996
4436313,1,0.3167996
4436314,-5,0.3167996
4436315,-14,0.3167996
4436316,-15,0.3167996
4436317,-12,0.3167996
4436318,-10,0.3167996
4436319,-4,0.3167996
4436320,-3,0.3167996
4436321,8,0.31679958
4436322,14,0.31679958
4436323,13,0.31679958
4436324,10,0.31679958
4436325,14,0.31679958
4436326,11,0.31679958
4436327,5,0.31679958
4436328,2,0.31679958
4436329,0,0.31679958
4436330,5,0.31679958
4436331,8,0.31679958
4436332,13,0.31679958
4436333,18,0.31679958
4436334,18,0.31679958
4436335,22,0.31679958
4436336,19,0.31679958
4436337,15,0.31679958
4436338,13,0.31679958
4436339,2,0.31679958
4436340,-5,0.31679958
4436341,-15,0.31679958
4436342,-23,0.31679958
4436343,-28,0.31679958
4436344,-37,0.31679958
4436345,-36,0.31679958
4436346,-28,0.31679958
4436347,-22,0.31679958
4436348,-16,0.31679955
4436349,-10,0.31679955
4436350,4,0.31679955
4436351,12,0.31679955
4436352,14,0.31679955
4436353,14,0.31679955
4436354,15,0.31679955
4436355,18,0.31679955
4436356,16,0.31679955
4436357,11,0.31679955
4436358,15,0.31679955
4436359,20,0.31679955
4436360,27,0.31679955
4436361,29,0.31679955
4436362,33,0.31679955
4436363,30,0.31679955
4436364,27,0.31679955
4436365,24,0.31679955
4436366,17,0.31679955
4436367,10,0.31679955
4436368,5,0.31679955
4436369,5,0.31679955
4436370,-3,0.31679955
4436371,-6,0.31679955
4436372,1,0.31679955
4436373,2,0.31679955
4436374,4,0.31679955
4436375,2,0.31679952
4436376,7,0.31679952
4436377,2,0.31679952
4436378,-8,0.31679952
4436379,-17,0.31679952
4436380,-25,0.31679952
4436381,-35,0.31679952
4436382,-41,0.31679952
4436383,-38,0.31679952
4436384,-40,0.31679952
4436385,-41,0.31679952
4436386,-34,0.31679952
4436387,-34,0.31679952
4436388,-26,0.31679952
4436389,-16,0.31679952
4436390,-14,0.31679952
4436391,-5,0.31679952
4436392,5,0.31679952
4436393,14,0.31679952
4436394,21,0.31679952
4436395,28,0.31679952
4436396,30,0.31679952
4436397,34,0.31679952
4436398,38,0.31679952
4436399,43,0.31679952
4436400,42,0.31679952
4436401,38,0.31679952
4436402,40,0.3167995
4436403,37,0.3167995
4436404,32,0.3167995
4436405,17,0.3167995
4436406,1,0.3167995
4436407,-16,0.3167995
4436408,-27,0.3167995
4436409,-36,0.3167995
4436410,-47,0.3167995
4436411,-50,0.3167995
4436412,-47,0.3167995
4436413,-43,0.3167995
4436414,-40,0.3167995
4436415,-30,0.3167995
4436416,-17,0.3167995
4436417,-6,0.3167995
4436418,1,0.3167995
4436419,9,0.3167995
4436420,13,0.3167995
4436421,18,0.3167995
4436422,23,0.3167995
4436423,19,0.3167995
4436424,18,0.3167995
4436425,12,0.3167995
4436426,4,0.3167995
4436427,-6,0.3167995
4436428,-12,0.3167995
4436429,-10,0.31679946
4436430,-18,0.31679946
4436431,-22,0.31679946
4436432,-17,0.31679946
4436433,-7,0.31679946
4436434,6,0.31679946
4436435,13,0.31679946
4436436,30,0.31679946
4436437,45,0.31679946
4436438,59,0.31679946
4436439,65,0.31679946
4436440,64,0.31679946
4436441,56,0.31679946
4436442,38,0.31679946
4436443,15,0.31679946
4436444,-13,0.31679946
4436445,-40,0.31679946
4436446,-61,0.31679946
4436447,-75,0.31679946
4436448,-87,0.31679946
4436449,-93,0.31679946
4436450,-90,0.31679946
4436451,-82,0.31679946
4436452,-66,0.31679946
4436453,-50,0.31679946
4436454,-31,0.31679946
4436455,-3,0.31679946
4436456,21,0.31679943
4436457,39,0.31679943
4436458,51,0.31679943
4436459,60,0.31679943
4436460,47,0.31679943
4436461,30,0.31679943
4436462,6,0.31679943
4436463,-18,0.31679943
4436464,-33,0.31679943
4436465,-40,0.31679943
4436466,-40,0.31679943
4436467,-27,0.31679943
4436468,4,0.31679943
4436469,33,0.31679943
4436470,65,0.31679943
4436471,88,0.31679943
4436472,110,0.31679943
4436473,115,0.31679943
4436474,107,0.31679943
4436475,90,0.31679943
4436476,60,0.31679943
4436477,24,0.31679943
4436478,-12,0.31679943
4436479,-41,0.31679943
4436480,-62,0.31679943
4436481,-82,0.31679943
4436482,-87,0.31679943
4436483,-90,0.3167994
4436484,-79,0.3167994
4436485,-73,0.3167994
4436486,-54,0.3167994
4436487,-34,0.3167994
4436488,-14,0.3167994
4436489,-2,0.3167994
4436490,12,0.3167994
4436491,28,0.3167994
4436492,41,0.3167994
4436493,42,0.3167994
4436494,47,0.3167994
4436495,47,0.3167994
4436496,44,0.3167994
4436497,36,0.3167994
4436498,25,0.3167994
4436499,19,0.3167994
4436500,11,0.3167994
4436501,9,0.3167994
4436502,9,0.3167994
4436503,7,0.3167994
4436504,3,0.3167994
4436505,-1,0.3167994
4436506,0,0.3167994
4436507,-4,0.3167994
4436508,-6,0.3167994
4436509,-9,0.3167994
4436510,-4,0.31679937
4436511,-3,0.31679937
4436512,4,0.31679937
4436513,16,0.31679937
4436514,26,0.31679937
4436515,21,0.31679937
4436516,15,0.31679937
4436517,8,0.31679937
4436518,-7,0.31679937
4436519,-22,0.31679937
4436520,-32,0.31679937
4436521,-44,0.31679937
4436522,-58,0.31679937
4436523,-58,0.31679937
4436524,-57,0.31679937
4436525,-60,0.31679937
4436526,-57,0.31679937
4436527,-44,0.31679937
4436528,-39,0.31679937
4436529,-29,0.31679937
4436530,-10,0.31679937
4436531,10,0.31679937
4436532,20,0.31679937
4436533,31,0.31679937
4436534,38,0.31679937
4436535,48,0.31679937
4436536,47,0.31679937
4436537,52,0.31679934
4436538,59,0.31679934
4436539,74,0.31679934
4436540,89,0.31679934
4436541,112,0.31679934
4436542,127,0.31679934
4436543,141,0.31679934
4436544,139,0.31679934
4436545,125,0.31679934
4436546,96,0.31679934
4436547,64,0.31679934
4436548,29,0.31679934
4436549,-3,0.31679934
4436550,-37,0.31679934
4436551,-60,0.31679934
4436552,-80,0.31679934
4436553,-92,0.31679934
4436554,-94,0.31679934
4436555,-102,0.31679934
4436556,-117,0.31679934
4436557,-136,0.31679934
4436558,-154,0.31679934
4436559,-171,0.31679934
4436560,-176,0.31679934
4436561,-160,0.31679934
4436562,-135,0.31679934
4436563,-98,0.31679934
4436564,-47,0.3167993
4436565,-1,0.3167993
4436566,46,0.3167993
4436567,92,0.3167993
4436568,124,0.3167993
4436569,146,0.3167993
4436570,160,0.3167993
4436571,166,0.3167993
4436572,161,0.3167993
4436573,150,0.3167993
4436574,132,0.3167993
4436575,119,0.3167993
4436576,103,0.3167993
4436577,83,0.3167993
4436578,70,0.3167993
4436579,61,0.3167993
4436580,55,0.3167993
4436581,53,0.3167993
4436582,54,0.3167993
4436583,57,0.3167993
4436584,46,0.3167993
4436585,31,0.3167993
4436586,3,0.3167993
4436587,-27,0.3167993
4436588,-57,0.3167993
4436589,-83,0.3167993
4436590,-103,0.3167993
4436591,-115,0.31679928
4436592,-116,0.31679928
4436593,-95,0.31679928
4436594,-74,0.31679928
4436595,-44,0.31679928
4436596,-19,0.31679928
4436597,-4,0.31679928
4436598,4,0.31679928
4436599,-2,0.31679928
4436600,-6,0.31679928
4436601,-15,0.31679928
4436602,-25,0.31679928
4436603,-40,0.31679928
4436604,-53,0.31679928
4436605,-68,0.31679928
4436606,-69,0.31679928
4436607,-69,0.31679928
4436608,-65,0.31679928
4436609,-49,0.31679928
4436610,-19,0.31679928
4436611,9,0.31679928
4436612,41,0.31679928
4436613,65,0.31679928
4436614,89,0.31679928
4436615,104,0.31679928
4436616,107,0.31679928
4436617,99,0.31679928
4436618,80,0.31679928
4436619,55,0.31679925
4436620,35,0.31679925
4436621,23,0.31679925
4436622,8,0.31679925
4436623,5,0.31679925
4436624,8,0.31679925
4436625,14,0.31679925
4436626,29,0.31679925
4436627,49,0.31679925
4436628,62,0.31679925
4436629,82,0.31679925
4436630,92,0.31679925
4436631,97,0.31679925
4436632,95,0.31679925
4436633,85,0.31679925
4436634,64,0.31679925
4436635,37,0.31679925
4436636,8,0.31679925
4436637,-24,0.31679925
4436638,-60,0.31679925
4436639,-84,0.31679925
4436640,-101,0.31679925
4436641,-109,0.31679925
4436642,-103,0.31679925
4436643,-89,0.31679925
4436644,-76,0.31679925
4436645,-61,0.31679925
4436646,-43,0.31679922
4436647,-25,0.31679922
4436648,-10,0.31679922
4436649,5,0.31679922
4436650,16,0.31679922
4436651,33,0.31679922
4436652,36,0.31679922
4436653,43,0.31679922
4436654,42,0.31679922
4436655,36,0.31679922
4436656,27,0.31679922
4436657,13,0.31679922
4436658,-4,0.31679922
4436659,-21,0.31679922
4436660,-40,0.31679922
4436661,-53,0.31679922
4436662,-60,0.31679922
4436663,-55,0.31679922
4436664,-44,0.31679922
4436665,-21,0.31679922
4436666,9,0.31679922
4436667,37,0.31679922
4436668,64,0.31679922
4436669,86,0.31679922
4436670,94,0.31679922
4436671,87,0.31679922
4436672,84,0.31679922
4436673,67,0.3167992
4436674,42,0.3167992
4436675,26,0.3167992
4436676,19,0.3167992
4436677,22,0.3167992
4436678,32,0.3167992
4436679,49,0.3167992
4436680,69,0.3167992
4436681,85,0.3167992
4436682,83,0.3167992
4436683,76,0.3167992
4436684,59,0.3167992
4436685,32,0.3167992
4436686,0,0.3167992
4436687,-35,0.3167992
4436688,-65,0.3167992
4436689,-92,0.3167992
4436690,-109,0.3167992
4436691,-128,0.3167992
4436692,-134,0.3167992
4436693,-133,0.3167992
4436694,-124,0.3167992
4436695,-102,0.3167992
4436696,-83,0.3167992
4436697,-65,0.3167992
4436698,-47,0.3167992
4436699,-43,0.3167992
4436700,-47,0.31679916
4436701,-59,0.31679916
4436702,-69,0.31679916
